,Title,Published At,Country,View Count,Subscriber Count,Video Count
0,Michael Wrubel,2019-11-19T05:20:04.10101Z,US,68348825,315000,2284
1,Crypto Banter,2017-09-15T08:03:10Z,US,167426974,1160000,3802
2,Crypto Jebb,2017-11-16T21:55:38Z,US,31491226,242000,3073
3,DeepakWadhwa.Official,2021-06-08T18:59:42.166949Z,IN,58858772,756000,646
4,CryptoWendyO,2018-04-18T23:41:41Z,US,23451521,242000,2226
5,Brian Jung,2015-10-01T18:36:35Z,US,85917802,2070000,470
6,aantonop,2006-05-14T17:40:56Z,US,18339999,346000,744
7,Crypto Zombie,2017-12-31T17:06:38Z,US,45170174,263000,1576
8,Cointelegraph,2014-03-27T09:23:42Z,US,14650410,219000,1083
9,Alex Becker's Channel,2015-01-15T04:57:37Z,N/A,75955906,1580000,321
